driverId,constructorId,gridPosition,finalPosition,q1,q2,q3,constructorPosition
1,131,5,2,93000.0,93000.0,92000.0,1
1,131,3,7,68000.0,68000.0,67000.0,1
1,131,1,1,95000.0,95000.0,94000.0,1
1,131,1,1,72000.0,72000.0,71000.0,1
1,131,1,5,101000.0,101000.0,100000.0,1
1,131,6,6,90000.0,89000.0,89000.0,3
1,131,6,1,101000.0,94000.0,99000.0,1
1,131,2,3,92000.0,91000.0,90000.0,1
1,131,11,5,84000.0,83000.0,82000.0,1
1,131,2,2,94000.0,93000.0,93000.0,1
1,1,3,10,99000.0,98000.0,97000.0,3
1,131,2,4,97000.0,96000.0,96000.0,1
1,131,8,3,66000.0,65000.0,73000.0,3
1,131,4,2,93000.0,92000.0,91000.0,3
1,131,6,5,80000.0,79000.0,79000.0,3
1,131,8,8,73000.0,72000.0,72000.0,3
1,131,7,4,103000.0,103000.0,102000.0,3
1,131,5,4,79000.0,79000.0,78000.0,2
1,131,2,1,93000.0,93000.0,92000.0,1
1,131,1,1,117000.0,119000.0,119000.0,1
1,1,3,2,98000.0,98000.0,97000.0,1
1,131,3,1,76000.0,75000.0,75000.0,1
1,131,4,3,93000.0,85000.0,82000.0,3
1,131,5,3,100000.0,101000.0,101000.0,3
1,131,3,2,105000.0,103000.0,103000.0,1
1,131,2,3,80000.0,79000.0,79000.0,1
1,131,2,5,98000.0,97000.0,97000.0,3
1,131,2,2,97000.0,96000.0,96000.0,1
1,131,7,2,78000.0,78000.0,78000.0,3
1,131,2,1,85000.0,85000.0,85000.0,1
1,131,1,9,72000.0,72000.0,71000.0,1
1,131,7,5,90000.0,90000.0,89000.0,2
1,131,2,1,102000.0,102000.0,101000.0,2
1,131,5,1,102000.0,100000.0,100000.0,1
1,131,1,2,91000.0,90000.0,90000.0,1
1,131,1,1,89000.0,87000.0,87000.0,1
1,131,1,1,94000.0,93000.0,93000.0,1
1,1,4,2,91000.0,91000.0,90000.0,1
1,131,3,6,85000.0,85000.0,84000.0,2
1,131,4,7,100000.0,100000.0,100000.0,2
1,131,5,4,97000.0,97000.0,97000.0,2
1,131,1,1,77000.0,77000.0,76000.0,1
1,131,3,3,72000.0,71000.0,71000.0,1
1,131,1,4,90000.0,91000.0,89000.0,2
1,131,9,5,93000.0,93000.0,92000.0,4
1,131,2,2,101000.0,101000.0,100000.0,1
1,131,2,1,77000.0,76000.0,76000.0,1
1,131,7,5,89000.0,89000.0,89000.0,3
1,131,5,3,92000.0,92000.0,91000.0,2
1,131,1,4,78000.0,77000.0,76000.0,2
1,131,3,4,118000.0,112000.0,107000.0,2
1,131,9,3,89000.0,88000.0,88000.0,2
1,131,4,4,93000.0,91000.0,91000.0,1
1,131,4,5,71000.0,71000.0,70000.0,1
1,131,1,1,91000.0,90000.0,90000.0,1
1,131,1,2,86000.0,86000.0,85000.0,2
1,131,3,1,76000.0,75000.0,74000.0,1
1,1,4,4,79000.0,78000.0,75000.0,2
1,1,2,2,100000.0,100000.0,99000.0,2
1,131,3,5,105000.0,96000.0,88000.0,4
1,131,4,3,97000.0,96000.0,111000.0,4
1,131,1,3,95000.0,95000.0,94000.0,4
1,131,8,6,81000.0,81000.0,80000.0,2
1,131,4,3,88000.0,87000.0,87000.0,1
1,131,19,5,82000.0,81000.0,81000.0,3
1,131,3,9,113000.0,112000.0,109000.0,3
1,131,6,5,90000.0,90000.0,90000.0,3
1,131,4,4,71000.0,71000.0,70000.0,3
1,131,1,1,77000.0,91000.0,95000.0,1
1,131,1,2,102000.0,101000.0,118000.0,1
1,131,3,1,80000.0,79000.0,79000.0,1
1,131,1,5,91000.0,90000.0,89000.0,2
1,131,1,1,80000.0,79000.0,79000.0,2
